127.0.0.1 - - [03/Mar/2017:11:12:26 +0100] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:12 +0100] "GET /neoblik/accueil HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:12 +0100] "GET /neoblik/img/neoblik.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:12 +0100] "GET /neoblik/accueil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:12 +0100] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:36 +0100] "POST /neoblik/choix_jeu HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:36 +0100] "GET /neoblik/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:36 +0100] "GET /neoblik/img/iconepoker.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:36 +0100] "GET /neoblik/img/autrejeu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:40 +0100] "GET /neoblik/lobby?game=Poker HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:41 +0100] "GET /neoblik/style_poker_main_page.css HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:41 +0100] "GET /neoblik/jquery-3.1.1.min.js HTTP/1.1" 200 86713
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:41 +0100] "GET /neoblik/img/fondecranpoker.png HTTP/1.1" 200 651918
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:42 +0100] "GET /neoblik/lobby HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:43 +0100] "GET /neoblik/lobby HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:44 +0100] "GET /neoblik/lobby HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:45 +0100] "GET /neoblik/lobby HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:46 +0100] "GET /neoblik/lobby HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:46 +0100] "GET /neoblik/accueil HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:47 +0100] "GET /neoblik/lobby HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:48 +0100] "GET /neoblik/lobby HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:49 +0100] "GET /neoblik/lobby HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:50 +0100] "GET /neoblik/lobby HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:51 +0100] "GET /neoblik/lobby HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:52 +0100] "GET /neoblik/lobby HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:52 +0100] "POST /neoblik/lobby HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:53 +0100] "GET /neoblik/lobby HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [03/Mar/2017:11:13:53 +0100] "GET /neoblik/lobby HTTP/1.1" 200 953
